paper_id,title,pmid,doi,matched_pis,matched_centers,collection_route,year,paper_status,abstract_length,dataset_scan_status,resource_scan_status
pmid-42009167,Treatment of liver failure utilizing multi-cell lineage liver microtissue.,42009167,10.1016/j.jhepr.2026.101864,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,2904,pending,pending
pmid-42008572,"Entry, replication and innate immunity evasion of BANAL-236, a SARS-CoV-2-related bat virus, in Rhinolophus and human cells.",42008572,10.1371/journal.ppat.1013573,Adolfo Garcia-Sastre,SYBIL,pi_author_backlog,2026,metadata_ingested,1470,pending,pending
pmid-42000914,"Cadmium exposure is associated with overexpression of the metallothionein gene and heightened urinary deoxy-guanosine and protein carbonylation status in an exposed population of West Bengal, India.",42000914,10.1038/s41370-026-00896-1,Sumit Chanda,SYBIL,pi_author_backlog,2026,metadata_ingested,2276,pending,pending
pmid-41999581,Human genetic variation associates with infection by derived Ugandan M. tuberculosis lineage.,41999581,10.1093/infdis/jiag218,Nevan Krogan,HPMI,pi_author_backlog,2026,metadata_ingested,1677,pending,pending
pmid-41995971,Decisional Conflict in Regarding Deinfibulation in Female Genital Mutilation/Cutting Patients: A Cross-Sectional Study.,41995971,10.1007/s10903-026-01916-w,Sumit Chanda,SYBIL,pi_author_backlog,2026,metadata_ingested,1806,pending,pending
pmid-41994740,Severe Hypercalcemia and Acute Kidney Injury as Initial Manifestations of Multisystem Sarcoidosis in an Adolescent With Type 1 Diabetes: A Case Report.,41994740,10.7759/cureus.105121,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,1282,pending,pending
pmid-41990738,A tri-modal contrastive learning framework for protein representation learning.,41990738,10.1016/j.crmeth.2026.101407,Trey Ideker,HPMI,pi_author_backlog,2026,metadata_ingested,1162,pending,pending
pmid-41990286,HLA Associations Differ by Ethnicity and Aquaporin-4 Antibody Status in Patients With Neuromyelitis Optica Spectrum Disorders.,41990286,10.1212/NXI.0000000000200562,Michael Yeaman,UCLA-Persistent-BSI,pi_author_backlog,2026,metadata_ingested,2492,pending,pending
pmid-41984637,Sex and gender differences in morbidity and mortality from influenza-like illness during pandemics and throughout the 20th century in Switzerland.,41984637,10.1080/23744235.2026.2644272,Alan Hauser,SCRIPT,pi_author_backlog,2026,metadata_ingested,1671,pending,pending
pmid-41958274,"The role of adolescent peer navigators in health service delivery: perspectives from Kenyan adolescents and young adults, caregivers and other knowledge users.",41958274,10.1177/17579759261419115,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,2296,pending,pending
pmid-41951809,Mental disorders and osteoporosis treatment in patients with hip fracture-a Danish population-based cohort study.,41951809,10.1007/s00198-026-07975-x,Kristian Andersen,CViSB,pi_author_backlog,2026,metadata_ingested,2199,pending,pending
pmid-41951218,Addressing the Psychological Needs of Adolescents During the Wait Time for Mental Health Treatment: Service Design Study.,41951218,10.2196/87067,Ryan McNamara,CViSB,pi_author_backlog,2026,metadata_ingested,2514,pending,pending
pmid-41940347,CGM23 corresponds to a pan-coronavirus lipopeptide inhibitor potently inhibiting virion fusion.,41940347,10.1016/j.isci.2026.115334,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,1080,pending,pending
pmid-41939306,Drug-Induced Phospholipidosis as an Artifact in Antiviral Drug Repurposing.,41939306,10.1021/acsomega.6c00013,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,1446,pending,pending
pmid-41937955,Low Preoperative Platelet Count Is Associated With Deep Surgical Site Infection in Knee Arthroplasty.,41937955,10.1016/j.artd.2026.101989,Michael Yeaman,UCLA-Persistent-BSI,pi_author_backlog,2026,metadata_ingested,1852,pending,pending
pmid-41928473,The scientific legacy of Martin Karplus from the perspective of his collaborators.,41928473,10.1016/j.bpj.2026.03.050,Andrej Sali,HPMI,pi_author_backlog,2026,metadata_ingested,839,pending,pending
pmid-41917196,Programmable kinetic barcoding for multiplexed RNA detection with Cas13a.,41917196,10.1038/s41551-026-01642-6,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,1115,pending,pending
pmid-41899571,An Analysis of G3BP2 in Non-Small Cell Lung Cancer.,41899571,10.3390/cancers18060969,Kristian Andersen,CViSB,pi_author_backlog,2026,metadata_ingested,2188,pending,pending
pmid-41888257,Common and rare genetic variants show network convergence for a majority of human traits.,41888257,10.1038/s44319-026-00733-4,Trey Ideker,HPMI,pi_author_backlog,2026,metadata_ingested,1055,pending,pending
pmid-41877583,The complexities of respiratory chain biogenesis and maintenance in yeast mitochondria.,41877583,10.1002/pro.70545,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,1100,pending,pending
pmid-41867191,Outburst of serotype 4 IPD after COVID-19 is driven by ST15063/GPSC162 lineage associated with high-risk behaviors and greater virulence linked to influenza H3N2 virus coinfection and cigarette smoke.,41867191,10.64898/2026.02.27.26346872,Adolfo Garcia-Sastre;Michael Schotsaert,SYBIL,pi_author_backlog,2026,metadata_ingested,1735,pending,pending
pmid-41864210,Multiomic analysis of ART-interruption cohorts identifies cell-extrinsic and -intrinsic mechanisms driving lymphocyte-mediated control of HIV rebound.,41864210,10.1016/j.immuni.2026.01.029,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,1140,pending,pending
pmid-41859121,Divergent macrophage responses to Influenza A virus and Streptococcus pneumoniae: co-infection drives bacterial dominance whereas superinfection favors viral priming.,41859121,10.3389/fimmu.2026.1729086,Adolfo Garcia-Sastre,SYBIL,pi_author_backlog,2026,metadata_ingested,1655,pending,pending
