paper_id,pmid,year,title,abstract_excerpt,collection_route,center,pi_candidates,pathogens,viruses,assay_types,paper_kind,cross_virus_relevance,cross_virus_reason,priority,priority_reason,review_status,notes
pmid-35150638,35150638,2022,Mutations in SARS-CoV-2 variants of concern link to increased spike cleavage and virus transmission.,"SARS-CoV-2 lineages have diverged into highly prevalent variants termed ""variants of concern"" (VOCs). Here, we characterized emerging SARS-CoV-2 spike polymorphisms in vitro and in vivo to understand their impact on transmissibility and virus pathogenicity and fitness. We demo...",hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov,,primary_research,candidate,"relevant host-pathogen/pathway terms matched: virus, viral",medium,"older HPMI paper with relevant terms: virus, viral, sars, cov",pending,
pmid-35149213,35149213,2022,Integration of software tools for integrative modeling of biomolecular systems.,"Integrative modeling computes a model based on varied types of input information, be it from experiments or prior models. Often, a type of input information will be best handled by a specific modeling software package. In such a case, we desire to integrate our integrative mod...",hpmi_grant_query,HPMI,,,,,primary_research,unknown,no explicit cross-virus or strong host-mechanism terms matched,low,no strong HPMI literature-priority keywords matched,pending,
pmid-35017099,35017099,2022,Comparative Analysis of T-Cell Spatial Proteomics and the Influence of HIV Expression.,"As systems biology approaches to virology have become more tractable, highly studied viruses such as HIV can now be analyzed in new unbiased ways, including spatial proteomics. We employed here a differential centrifugation protocol to fractionate Jurkat T cells for proteomic...",hpmi_grant_query,HPMI,,,influenza;hiv,proteomics,methods,high,explicit cross-virus/shared-host language: comparative,medium,older HPMI paper with relevant terms: viral,pending,
pmid-35013567,35013567,2022,From systems to structure - using genetic data to model protein structures.,"Understanding the effects of genetic variation is a fundamental problem in biology that requires methods to analyse both physical and functional consequences of sequence changes at systems-wide and mechanistic scales. To achieve a systems view, protein interaction networks map...",hpmi_grant_query,HPMI,,,,structural_biology,review,candidate,relevant host-pathogen/pathway terms matched: interaction,low,no strong HPMI literature-priority keywords matched,pending,
pmid-35012962,35012962,2022,Preclinical and randomized phase I studies of plitidepsin in adults hospitalized with COVID-19.,"Plitidepsin, a marine-derived cyclic-peptide, inhibits SARS-CoV-2 replication at nanomolar concentrations by targeting the host protein eukaryotic translation elongation factor 1A. Here, we show that plitidepsin distributes preferentially to lung over plasma, with similar pote...",hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov,,primary_research,candidate,relevant host-pathogen/pathway terms matched: viral,medium,"older HPMI paper with relevant terms: viral, sars, cov",pending,
pmid-34942634,34942634,2022,Evolution of enhanced innate immune evasion by SARS-CoV-2.,"The emergence of SARS-CoV-2 variants of concern suggests viral adaptation to enhance human-to-human transmission1,2. Although much effort has focused on the characterization of changes in the spike protein in variants of concern, mutations outside of spike are likely to contri...",hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov,proteomics,data_or_analysis,candidate,"relevant host-pathogen/pathway terms matched: viral, interaction",medium,"older HPMI paper with relevant terms: viral, sars, cov",pending,
pmid-34556855,34556855,2021,Restriction factor compendium for influenza A virus reveals a mechanism for evasion of autophagy.,"The fate of influenza A virus (IAV) infection in the host cell depends on the balance between cellular defence mechanisms and viral evasion strategies. To illuminate the landscape of IAV cellular restriction, we generated and integrated global genetic loss-of-function screens...",hpmi_grant_query,HPMI,,,influenza,proteomics;transcriptomics,primary_research,candidate,"relevant host-pathogen/pathway terms matched: virus, viral, interaction",medium,"older HPMI paper with relevant terms: virus, viral, influenza",pending,
pmid-34519533,34519533,2021,Target Discovery for Host-Directed Antiviral Therapies: Application of Proteomics Approaches.,"Current epidemics, such as AIDS or flu, and the emergence of new threatening pathogens, such as the one causing the current coronavirus disease 2019 (COVID-19) pandemic, represent major global health challenges. While vaccination is an important part of the arsenal to counter...",hpmi_grant_query,HPMI,,,sars-cov-2;coronavirus;influenza,proteomics,primary_research,candidate,"relevant host-pathogen/pathway terms matched: viral, host-pathogen",medium,"older HPMI paper with relevant terms: viral, host-pathogen",pending,
pmid-34453000,34453000,2021,Bayesian metamodeling of complex biological systems across varying representations.,"Comprehensive modeling of a whole cell requires an integration of vast amounts of information on various aspects of the cell and its parts. To divide and conquer this task, we introduce Bayesian metamodeling, a general approach to modeling complex systems by integrating a coll...",hpmi_grant_query,HPMI,,,,structural_biology,primary_research,unknown,no explicit cross-virus or strong host-mechanism terms matched,low,no strong HPMI literature-priority keywords matched,pending,
pmid-34389466,34389466,2021,Characterization of an A3G-Vif(HIV-1)-CRL5-CBFβ Structure Using a Cross-linking Mass Spectrometry Pipeline for Integrative Modeling of Host-Pathogen Complexes.,"Structural analysis of host-pathogen protein complexes remains challenging, largely due to their structural heterogeneity. Here, we describe a pipeline for the structural characterization of these complexes using integrative structure modeling based on chemical cross-links and...",hpmi_grant_query,HPMI,,,hiv,proteomics;structural_biology,methods,candidate,relevant host-pathogen/pathway terms matched: host-pathogen,medium,older HPMI paper with relevant terms: host-pathogen,pending,
pmid-34326236,34326236,2021,Drug-induced phospholipidosis confounds drug repurposing for SARS-CoV-2.,"Repurposing drugs as treatments for COVID-19, the disease caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has drawn much attention. Beginning with sigma receptor ligands and expanding to other drugs from screening in the field, we became concerned that...",hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov;coronavirus,,primary_research,unknown,no explicit cross-virus or strong host-mechanism terms matched,medium,"older HPMI paper with relevant terms: sars, cov",pending,
pmid-34225486,34225486,2021,Galectin-8 Senses Phagosomal Damage and Recruits Selective Autophagy Adapter TAX1BP1 To Control Mycobacterium tuberculosis Infection in Macrophages.,"Mycobacterium tuberculosis (Mtb) causes one of the deadliest infectious diseases worldwide. Upon infection, Mtb is phagocytosed by macrophages and uses its virulence-associated ESX-1 secretion system to modulate the host cell. We showed previously that the ESX-1 secretion syst...",hpmi_grant_query,HPMI,,mycobacterium_tuberculosis,,genome_editing,primary_research,candidate,"relevant host-pathogen/pathway terms matched: interaction, crispr, pathway, tuberculosis, mycobacterium",medium,"older HPMI paper with relevant terms: tuberculosis, mycobacterium",pending,
pmid-34171302,34171302,2021,"An ancient viral epidemic involving host coronavirus interacting genes more than 20,000 years ago in East Asia.","The current severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) pandemic has emphasized the vulnerability of human populations to novel viral pressures, despite the vast array of epidemiological and biomedical tools now available. Notably, modern human genomes contain...",hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov;coronavirus,,data_or_analysis,candidate,"relevant host-pathogen/pathway terms matched: virus, viral",medium,"older HPMI paper with relevant terms: virus, viral, sars, cov",pending,
pmid-34127972,34127972,2021,Evolution of enhanced innate immune evasion by the SARS-CoV-2 B.1.1.7 UK variant.,"Emergence of SARS-CoV-2 variants, including the globally successful B.1.1.7 lineage, suggests viral adaptations to host selective pressures resulting in more efficient transmission. Although much effort has focused on Spike adaptation for viral entry and adaptive immune escape...",hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov,proteomics,data_or_analysis,candidate,"relevant host-pathogen/pathway terms matched: viral, interaction",medium,"older HPMI paper with relevant terms: viral, sars, cov",pending,
pmid-34031651,34031651,2021,"CryoEM and AI reveal a structure of SARS-CoV-2 Nsp2, a multifunctional protein involved in key host processes.","The SARS-CoV-2 protein Nsp2 has been implicated in a wide range of viral processes, but its exact functions, and the structural basis of those functions, remain unknown. Here, we report an atomic model for full-length Nsp2 obtained by combining cryo-electron microscopy with de...",hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov;coronavirus,proteomics;structural_biology,data_or_analysis,candidate,"relevant host-pathogen/pathway terms matched: viral, interaction",medium,"older HPMI paper with relevant terms: viral, sars, cov",pending,
pmid-34013269,34013269,2021,"CryoEM and AI reveal a structure of SARS-CoV-2 Nsp2, a multifunctional protein involved in key host processes.","The SARS-CoV-2 protein Nsp2 has been implicated in a wide range of viral processes, but its exact functions, and the structural basis of those functions, remain unknown. Here, we report an atomic model for full-length Nsp2 obtained by combining cryo-electron microscopy with de...",hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov;coronavirus,proteomics;structural_biology,data_or_analysis,candidate,"relevant host-pathogen/pathway terms matched: viral, interaction",medium,"older HPMI paper with relevant terms: viral, sars, cov",pending,
pmid-33979618,33979618,2021,Efficient generation of isogenic primary human myeloid cells using CRISPR-Cas9 ribonucleoproteins.,"Genome engineering of primary human cells with CRISPR-Cas9 has revolutionized experimental and therapeutic approaches to cell biology, but human myeloid-lineage cells have remained largely genetically intractable. We present a method for the delivery of CRISPR-Cas9 ribonucleop...",hpmi_grant_query,HPMI,,,hiv,genome_editing,methods,candidate,"relevant host-pathogen/pathway terms matched: host-pathogen, crispr",medium,older HPMI paper with relevant terms: host-pathogen,pending,
pmid-33957123,33957123,2021,From integrative structural biology to cell biology.,"Integrative modeling is an increasingly important tool in structural biology, providing structures by combining data from varied experimental methods and prior information. As a result, molecular architectures of large, heterogeneous, and dynamic systems, such as the ∼52-MDa N...",hpmi_grant_query,HPMI,,,hiv,proteomics;structural_biology,primary_research,unknown,no explicit cross-virus or strong host-mechanism terms matched,low,no strong HPMI literature-priority keywords matched,pending,
pmid-33930332,33930332,2021,Functional landscape of SARS-CoV-2 cellular restriction.,A deficient interferon (IFN) response to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection has been implicated as a determinant of severe coronavirus disease 2019 (COVID-19). To identify the molecular effectors that govern IFN control of SARS-CoV-2 infecti...,hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov;coronavirus,,primary_research,candidate,relevant host-pathogen/pathway terms matched: viral,medium,"older HPMI paper with relevant terms: viral, sars, cov",pending,
pmid-33853786,33853786,2021,Fragment binding to the Nsp3 macrodomain of SARS-CoV-2 identified through crystallographic screening and computational docking.,The severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) macrodomain within the nonstructural protein 3 counteracts host-mediated antiviral adenosine diphosphate-ribosylation signaling. This enzyme is a promising antiviral target because catalytic mutations render viru...,hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov;coronavirus;influenza,structural_biology,primary_research,unknown,no explicit cross-virus or strong host-mechanism terms matched,medium,"older HPMI paper with relevant terms: sars, cov",pending,
pmid-33791693,33791693,2021,Phospholipidosis is a shared mechanism underlying the in vitro antiviral activity of many repurposed drugs against SARS-CoV-2.,"Repurposing drugs as treatments for COVID-19 has drawn much attention. A common strategy has been to screen for established drugs, typically developed for other indications, that are antiviral in cells or organisms. Intriguingly, most of the drugs that have emerged from these...",hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov,structural_biology,data_or_analysis,unknown,no explicit cross-virus or strong host-mechanism terms matched,medium,"older HPMI paper with relevant terms: sars, cov",pending,
pmid-33765441,33765441,2021,Creating collaboration by breaking down scientific barriers.,"The scientific world rewards the individual while often discouraging collaboration. However, times of crisis show us how much more we can accomplish when we work together. Here, we describe our approach to breaking down silos and fostering global collaborations and share the l...",hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov,,primary_research,unknown,no explicit cross-virus or strong host-mechanism terms matched,medium,"older HPMI paper with relevant terms: sars, cov",pending,
