paper_id,pmid,source_collection,parse_source_type,pdf_path,xml_path,normalized_json_path,parse_status,section_count,body_word_count,parser_warnings
pmid-31442400,31442400,current-program,pmc_xml,papers/fulltext/inventory/oa/pmid-31442400.pdf,papers/fulltext/parsed/pmc_xml/PMC6716374.xml,papers/fulltext/parsed/normalized/31442400.json,cached_normalized,26,9037,
pmid-31416162,31416162,current-program,pmc_xml,papers/fulltext/inventory/oa/pmid-31416162.pdf,papers/fulltext/parsed/pmc_xml/PMC6722660.xml,papers/fulltext/parsed/normalized/31416162.json,cached_normalized,9,3076,
pmid-31326608,31326608,current-program,pmc_xml,papers/fulltext/inventory/oa/pmid-31326608.pdf,papers/fulltext/parsed/pmc_xml/PMC6861666.xml,papers/fulltext/parsed/normalized/31326608.json,cached_normalized,13,3070,
pmid-30992445,30992445,current-program,pmc_xml,papers/fulltext/inventory/oa/pmid-30992445.pdf,papers/fulltext/parsed/pmc_xml/PMC6467912.xml,papers/fulltext/parsed/normalized/30992445.json,cached_normalized,24,8294,
pmid-30921383,30921383,current-program,pmc_xml,papers/fulltext/inventory/oa/pmid-30921383.pdf,papers/fulltext/parsed/pmc_xml/PMC6438490.xml,papers/fulltext/parsed/normalized/30921383.json,cached_normalized,33,6070,
pmid-30706119,30706119,current-program,pmc_xml,papers/fulltext/inventory/oa/pmid-30706119.pdf,papers/fulltext/parsed/pmc_xml/PMC7094947.xml,papers/fulltext/parsed/normalized/30706119.json,cached_normalized,26,4355,
pmid-30621750,30621750,current-program,pmc_xml,papers/fulltext/inventory/oa/pmid-30621750.pdf,papers/fulltext/parsed/pmc_xml/PMC6325816.xml,papers/fulltext/parsed/normalized/30621750.json,cached_normalized,21,8871,
pmid-30538201,30538201,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-30538201.pdf,papers/fulltext/parsed/pmc_xml/PMC6310826.xml,papers/fulltext/parsed/normalized/30538201.json,cached_normalized,0,0,PMC XML body missing.
pmid-30401782,30401782,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-30401782.pdf,papers/fulltext/parsed/pmc_xml/PMC6222128.xml,papers/fulltext/parsed/normalized/30401782.json,cached_normalized,13,4114,
pmid-30293731,30293731,pi-backlog,pdf_grobid,papers/fulltext/inventory/manual/pmid-30293731.pdf,,papers/fulltext/parsed/normalized/30293731.json,cached_normalized,8,3258,Using canonical paper title over GROBID TEI title.; Using canonical paper abstract over GROBID TEI abstract.
pmid-30258002,30258002,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-30258002.pdf,papers/fulltext/parsed/pmc_xml/PMC6258958.xml,papers/fulltext/parsed/normalized/30258002.json,cached_normalized,0,0,PMC XML body missing.
pmid-30209081,30209081,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-30209081.pdf,papers/fulltext/parsed/pmc_xml/PMC6375299.xml,papers/fulltext/parsed/normalized/30209081.json,cached_normalized,23,6676,
pmid-30118682,30118682,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-30118682.pdf,papers/fulltext/parsed/pmc_xml/PMC6329589.xml,papers/fulltext/parsed/normalized/30118682.json,cached_normalized,29,7521,
pmid-30111569,30111569,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-30111569.pdf,papers/fulltext/parsed/pmc_xml/PMC6189488.xml,papers/fulltext/parsed/normalized/30111569.json,cached_normalized,0,0,PMC XML body missing.
pmid-29958302,29958302,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-29958302.pdf,papers/fulltext/parsed/pmc_xml/PMC6042790.xml,papers/fulltext/parsed/normalized/29958302.json,cached_normalized,17,6640,
pmid-29874595,29874595,pi-backlog,pdf_grobid,papers/fulltext/inventory/manual/pmid-29874595.pdf,,papers/fulltext/parsed/normalized/29874595.json,cached_normalized,11,6243,Using canonical paper title over GROBID TEI title.; Using canonical paper abstract over GROBID TEI abstract.
pmid-29624387,29624387,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-29624387.pdf,papers/fulltext/parsed/pmc_xml/PMC6548547.xml,papers/fulltext/parsed/normalized/29624387.json,cached_normalized,33,5856,
pmid-29488088,29488088,pi-backlog,,,,,missing_local_pdf,0,0,local PDF missing
pmid-29391557,29391557,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-29391557.pdf,papers/fulltext/parsed/pmc_xml/PMC5794779.xml,papers/fulltext/parsed/normalized/29391557.json,cached_normalized,19,6172,
pmid-29370303,29370303,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-29370303.pdf,papers/fulltext/parsed/pmc_xml/PMC5800688.xml,papers/fulltext/parsed/normalized/29370303.json,cached_normalized,21,6857,
