paper_id,title,pmid,doi,year,journal,source_collections,in_current_program,in_hpmi,in_pi_backlog,center,pi_candidates,paper_status
pmid-42282583,Thousandfold Expansion Microscopy.,42282583,10.64898/2026.05.31.729018,2026,bioRxiv : the preprint server for biology,pi-backlog,no,no,yes,SYBIL,Sumit Chanda,metadata_ingested
pmid-42282014,A proteogenomic RNA processing mechanism drives sex differences in meningioma.,42282014,10.21203/rs.3.rs-9675139/v1,2026,Research square,pi-backlog,no,no,yes,HPMI,Nevan Krogan;Danielle Swaney,metadata_ingested
pmid-42277855,Stigmatism among physicians and nurses towards patients with alcohol use disorder: a systematic review.,42277855,10.1186/s12913-026-14882-8,2026,BMC health services research,pi-backlog,no,no,yes,CViSB,Kristian Andersen,metadata_ingested
pmid-42274369,"Price Burden, Psychological Wear-Out and Quit Behaviour: A Structural Analysis of Cigarette Consumption and Cessation Among Smokers in India.",42274369,10.1080/10826084.2026.2685625,2026,Substance use & misuse,pi-backlog,no,no,yes,SYBIL,Sumit Chanda,metadata_ingested
pmid-42273960,Sodium Bicarbonate for In-Hospital Cardiac Arrest: A Randomized Clinical Trial.,42273960,10.1001/jama.2026.10628,2026,JAMA,pi-backlog,no,no,yes,CViSB,Kristian Andersen,metadata_ingested
pmid-42269836,In vivo base editing alleviates hepatic iron accumulation and fibrosis in models of HFE-related hereditary hemochromatosis.,42269836,10.1016/j.jhep.2026.05.022,2026,Journal of hepatology,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-42258748,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies.,42258748,10.1172/jci.insight.203056,2026,JCI insight,current-program,yes,no,no,,,metadata_ingested
pmid-42253816,Cardiopulmonary resuscitation in donation after brain death donors aged ≥65 years: impact on outcomes after kidney transplantation - a multi-center study.,42253816,10.3389/ti.2026.16028,2026,Transplant international : official journal of the European Society for Organ Transplantation,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-42253285,Spinal Implant-Associated Infection in Type 2 and Type 1 Diabetes: Phenotype-Specific Inflammatory Features and Therapeutic Response to Semaglutide.,42253285,10.1002/jsp2.70196,2026,JOR spine,pi-backlog,no,no,yes,UCLA-Persistent-BSI,Michael Yeaman,metadata_ingested
pmid-42252026,Myeloid-avid mammalian target of rapamycin-inhibiting nanobiologic attenuates allograft fibrosis after lung transplantation.,42252026,10.1016/j.ajt.2026.05.2303,2026,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,pi-backlog,no,no,yes,SYBIL,Michael Schotsaert,metadata_ingested
pmid-42251067,Rapid development and field evaluation of a portable CRISPR-based assay for Mpox during the 2025 Sierra Leone outbreak.,42251067,10.1038/s41467-026-74034-8,2026,Nature communications,pi-backlog,no,no,yes,CViSB,Donald S Grant,metadata_ingested
pmid-42249592,Compartmentalized cytokine networks and systemic immune remodelling in bovine mammary H5N1 infection.,42249592,10.1080/22221751.2026.2686469,2026,Emerging microbes & infections,pi-backlog,no,no,yes,SYBIL,Adolfo Garcia-Sastre,metadata_ingested
pmid-42244724,Zoonotic infections and genomic evolution of novel reassortant swine influenza A viruses in Spain.,42244724,10.64898/2026.05.22.724525,2026,bioRxiv : the preprint server for biology,pi-backlog,no,no,yes,SYBIL,Adolfo Garcia-Sastre,metadata_ingested
pmid-42244653,Substrate and target selectivity of 4'-fluoroadenosine against viral and host polymerases.,42244653,10.64898/2026.05.22.727251,2026,bioRxiv : the preprint server for biology,pi-backlog,no,no,yes,SYBIL,Sumit Chanda,metadata_ingested
pmid-42239335,Extending structural surfaceomics to identify aberrant conformations of tumor surface proteins as potential immunotherapy targets.,42239335,10.64898/2026.05.15.721813,2026,bioRxiv : the preprint server for biology,pi-backlog,no,no,yes,HPMI,Andrej Sali,metadata_ingested
pmid-42233671,Identification and characterization of a SARS-CoV-2 M(pro) G23 deletion ensitrelvir-resistant mutant.,42233671,10.1128/mbio.00584-26,2026,mBio,pi-backlog,no,no,yes,SYBIL,Adolfo Garcia-Sastre,metadata_ingested
pmid-42230995,"DREAM repressive activity links somatic mutation, lifespan and disease.",42230995,10.1038/s43587-026-01132-z,2026,Nature aging,pi-backlog,no,no,yes,HPMI,Trey Ideker,metadata_ingested
pmid-42214302,Association between total fluid volume and postoperative morbidity after cytoreductive surgery with hyperthermic intraperitoneal chemotherapy.,42214302,10.1016/j.jclinane.2026.112243,2026,Journal of clinical anesthesia,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-42204603,"AcTor, a novel mTOR stimulator, potentiates ixazomib for the treatment of acute myeloid leukemia.",42204603,10.1186/s12943-026-02689-4,2026,Molecular cancer,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-42200562,Simplified Derivation of Stable Early Passage Murine Embryonic and Parthenogenetic Stem Cells.,42200562,10.1177/15473287261450907,2026,Stem cells and development,pi-backlog,no,no,yes,SCRIPT,Alan Hauser,metadata_ingested
pmid-42188872,A foundation model of cancer genotype enables precise predictions of therapeutic response.,42188872,10.1158/2159-8290.CD-25-1735,2026,Cancer discovery,pi-backlog,no,no,yes,HPMI,Trey Ideker,metadata_ingested
pmid-42182519,Pathogen-specific host responses define distinct pneumonia endotypes in the human lung.,42182519,10.64898/2026.05.12.724509,2026,bioRxiv : the preprint server for biology,current-program,yes,no,no,,,metadata_ingested
pmid-42179346,"A multiplexed, systems-based approach for prediction of antibody neutralization breadth for soluble human receptors.",42179346,10.1093/jimmun/vkag106,2026,"Journal of immunology (Baltimore, Md. : 1950)",current-program,yes,no,no,,,metadata_ingested
pmid-42179337,Integrating Global Public Health Intelligence - Thematic Analysis from WES Synthesis 2025.,42179337,,2026,Irish medical journal,pi-backlog,no,no,yes,CViSB,Kristian Andersen,metadata_ingested
pmid-42158426,The NFIA::CBFA2T3 identifies a molecularly defined subgroup of acute erythroid leukemia/erythroid sarcoma.,42158426,10.3389/fonc.2026.1809156,2026,Frontiers in oncology,pi-backlog,no,no,yes,CViSB,Kristian Andersen,metadata_ingested
pmid-42158352,Tuberculosis preventive therapy in Sierra Leone: early implementation gaps and lessons learned.,42158352,10.5588/pha.26.0005,2026,Public health action,pi-backlog,no,no,yes,CViSB,Donald S Grant,metadata_ingested
pmid-42150007,Self-Dimerization Induced Proximity Targeting Chimeras (SDIPTAC) Lead to DCAF1 Loss of Function and Inhibition of HIV Replication.,42150007,10.1021/acs.jmedchem.6c00126,2026,Journal of medicinal chemistry,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-42149940,Characterization of the first complete genome sequence of yellow fever virus (YFV) in Sierra Leone: Implications for public health.,42149940,10.1371/journal.pntd.0014354,2026,PLoS neglected tropical diseases,pi-backlog,no,no,yes,CViSB,Donald S Grant,metadata_ingested
pmid-42149727,Cas9(+) conditionally immortalized neutrophil progenitors as a tool for genome-wide CRISPR screening for neutrophil differentiation and function.,42149727,10.7554/eLife.82289,2026,eLife,hpmi,no,yes,no,HPMI,,metadata_ingested
pmid-42141216,Dynamic uterine microenvironment drives endometrial adenocarcinoma carcinogenesis and progression.,42141216,10.1038/s42003-026-10185-0,2026,Communications biology,pi-backlog,no,no,yes,CViSB,Kristian Andersen,metadata_ingested
pmid-42141015,Umbilical cord blood cell transcriptional and methylation signatures at birth are associated with BPD development and chorioamnionitis: a pilot study.,42141015,10.1038/s41598-026-53235-7,2026,Scientific reports,current-program,yes,no,no,,,metadata_ingested
pmid-42134328,Coronavirus protein interaction mapping in bat and human cells reveals network rewiring governing immune evasion and zoonotic potential.,42134328,10.1016/j.chom.2026.04.015,2026,Cell host & microbe,hpmi,no,yes,no,HPMI,,metadata_ingested
pmid-42129262,UveAI: clinic-ready scoring of retinal inflammation in uveitis on widefield fluorescein angiography using AI.,42129262,10.1038/s41598-026-46069-w,2026,Scientific reports,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-42120729,Genomic epidemiology of the 2025 mpox epidemic in Sierra Leone.,42120729,10.1038/s41591-026-04385-8,2026,Nature medicine,pi-backlog,no,no,yes,CViSB,Donald S Grant,metadata_ingested
pmid-42108747,Exploring Medication Adherence in Heart Failure From a Patient Perspective: A Qualitative Study.,42108747,10.1161/CIRCHEARTFAILURE.125.014133,2026,Circulation. Heart failure,pi-backlog,no,no,yes,CViSB,Kristian Andersen,metadata_ingested
pmid-42099631,Skeletal muscle as a dynamic immunological niche for vaccination.,42099631,10.3389/fimmu.2026.1808541,2026,Frontiers in immunology,pi-backlog,no,no,yes,SYBIL,Michael Schotsaert,metadata_ingested
